algo,feature_set,curve,x,y
decision_tree,reduced,pr,0.6506444683136412,0.11432480890818156
decision_tree,reduced,pr,0.6450053705692803,0.11485129578272928
decision_tree,reduced,pr,0.6439312567132116,0.11555512721665381
decision_tree,reduced,pr,0.638829215896885,0.11593002290336728
decision_tree,reduced,pr,0.6342642320085929,0.11617726624366731
decision_tree,reduced,pr,0.6302363050483352,0.11712161285493287
decision_tree,reduced,pr,0.6229860365198711,0.11731391585760517
decision_tree,reduced,pr,0.6165413533834586,0.11782213783548007
decision_tree,reduced,pr,0.6154672395273899,0.11885500933416304
decision_tree,reduced,pr,0.6106337271750806,0.1192949323260938
decision_tree,reduced,pr,0.6004296455424275,0.11921518447430156
decision_tree,reduced,pr,0.5966702470461869,0.11997192376221587
decision_tree,reduced,pr,0.5931793770139635,0.12088212761300209
decision_tree,reduced,pr,0.5902255639097744,0.12147673261854758
decision_tree,reduced,pr,0.582438238453276,0.12250084717045069
decision_tree,reduced,pr,0.5792158968850698,0.12325009999428604
decision_tree,reduced,pr,0.572234156820623,0.12408291603586817
decision_tree,reduced,pr,0.5665950590762621,0.12466028595060853
decision_tree,reduced,pr,0.5585392051557465,0.12462552426602756
decision_tree,reduced,pr,0.5550483351235231,0.1252499545537175
decision_tree,reduced,pr,0.5507518796992481,0.12592865475532633
decision_tree,reduced,pr,0.5461868958109559,0.12665006226650063
decision_tree,reduced,pr,0.5413533834586466,0.12728076267441127
decision_tree,reduced,pr,0.5343716433941997,0.12787559439660712
decision_tree,reduced,pr,0.5271213748657357,0.1283929622604487
decision_tree,reduced,pr,0.5174543501611171,0.12816760891253742
decision_tree,reduced,pr,0.5107411385606875,0.12845275883028298
decision_tree,reduced,pr,0.5048335123523093,0.12889955433664724
decision_tree,reduced,pr,0.5016111707841031,0.12939872540870048
decision_tree,reduced,pr,0.4954350161117078,0.13019546962105707
decision_tree,reduced,pr,0.49006444683136413,0.13102160959149975
decision_tree,reduced,pr,0.48415682062298604,0.13087029106481818
decision_tree,reduced,pr,0.47824919441460795,0.13217068645640073
decision_tree,reduced,pr,0.47261009667024706,0.13252014155560576
decision_tree,reduced,pr,0.46348012889366275,0.13222000919258464
decision_tree,reduced,pr,0.4597207303974221,0.13261037955073587
decision_tree,reduced,pr,0.4532760472610097,0.13295526149968495
decision_tree,reduced,pr,0.4503222341568206,0.13344473621389352
decision_tree,reduced,pr,0.44683136412459723,0.13492256547474257
