algo,feature_set,threshold,f1_positive,recall_positive,precision_positive,accuracy
random_forest,full,0.25,0.15999131661782265,0.9895273899033298,0.08703148248742354,0.1611203850239556
random_forest,full,0.3,0.17372227579556412,0.9675080558539205,0.09542854115902108,0.2569644676653587
random_forest,full,0.35,0.19182819690419747,0.923469387755102,0.10703059350782733,0.3717995967654519
random_forest,full,0.4,0.2144005358338915,0.8595596133190118,0.12247474747474747,0.49144752531055563
random_forest,full,0.45,0.23871581647428736,0.7747046186895811,0.14109649337311098,0.6010796279836105
random_forest,full,0.5,0.26152468257731415,0.6664876476906552,0.16267942583732056,0.6961215773841785
random_forest,full,0.55,0.2826889585510275,0.5448442534908701,0.19085692785250682,0.7767684870032736
random_forest,full,0.6,0.29138311128151057,0.40816326530612246,0.22656133551945148,0.8397251067704381
random_forest,full,0.7,0.20211777819060003,0.1460794844253491,0.32790837854128996,0.9068875062327921
random_forest,full,0.8,0.029889879391714735,0.015306122448979591,0.6333333333333333,0.9197866759164914
random_forest,full,0.9,0.0,0.0,0.0,0.9192663732737876
xgboost,reduced,0.05,0.14968748115842997,1.0,0.08089848586883323,0.08277147874346912
xgboost,reduced,0.1,0.15101866362729732,0.9962406015037594,0.08170186526899954,0.0956923277039478
xgboost,reduced,0.15,0.15476515996045684,0.9879162191192267,0.08395901321344622,0.12881826262275892
xgboost,reduced,0.2,0.16063971568191915,0.9709989258861439,0.08756296009298721,0.18078348906280486
xgboost,reduced,0.25,0.16813242416210877,0.9368958109559613,0.09235289446517907,0.25152296919374767
xgboost,reduced,0.3,0.1776776374024302,0.8893662728249194,0.09869773817683344,0.33537841177618316
xgboost,reduced,0.35,0.19030652988512808,0.8319011815252417,0.10744260248317958,0.4284909055433911
xgboost,reduced,0.4,0.2029715436917653,0.7575187969924813,0.11718522826403024,0.5196956229540183
xgboost,reduced,0.45,0.21707032767776194,0.6750805585392051,0.12932764031071556,0.6068463156069114
xgboost,reduced,0.5,0.23090812533191715,0.583780880773362,0.1439163246392162,0.6860407136817915
xgboost,reduced,0.55,0.24133333333333334,0.48603651987110635,0.1605179141539553,0.7532898302512628
xgboost,reduced,0.6,0.24202626641651032,0.38104189044038667,0.1773306673331667,0.8073145879853448
xgboost,reduced,0.7,0.20952105339314137,0.19441460794844254,0.2271728898650769,0.8815661109545385
xgboost,reduced,0.8,0.07751937984496124,0.04430719656283566,0.30956848030018763,0.9148654800875843
xgboost,reduced,0.9,0.0032076984763432237,0.001611170784103115,0.35294117647058826,0.919157976889891
xgboost,full,0.05,0.15195197647827507,0.9991944146079484,0.08222840979404225,0.09957291824744727
xgboost,full,0.1,0.1603025231999652,0.9903329752953813,0.08720943980704202,0.16237778307715656
