algo,feature_set,feature,importance,rank
xgboost,reduced,bureau_credit_income_ratio,0.23858383297920227,2
xgboost,reduced,bureau_debt_income_ratio,0.1973160207271576,3
xgboost,reduced,age_years,0.14216892421245575,4
xgboost,reduced,bureau_active_loan_count,0.1395500898361206,5
xgboost,reduced,employment_years,0.11860178411006927,6
xgboost,reduced,employment_ratio,0.08587560057640076,7
xgboost,reduced,dti,0.0785120278596878,8
xgboost,reduced,credit_income_ratio,0.0649513453245163,9
xgboost,reduced,income_per_capita_ratio,0.04833413287997246,10
xgboost,reduced,bureau_loan_count,0.04791753739118576,11
xgboost,reduced,children_ratio,0.031526826322078705,12
xgboost,reduced,bureau_overdue_income_ratio,0.005522623658180237,13
xgboost,reduced,bureau_overdue_loan_share,0.00462332833558321,14
xgboost,reduced,bureau_no_record,0.0016592253232374787,15
xgboost,reduced,bureau_overdue_loan_count,0.0006071956595405936,16
xgboost,reduced,bureau_has_overdue,2.1449232008308172e-05,17
xgboost,full,EXT_SOURCE_2,0.34816986322402954,1
xgboost,full,EXT_SOURCE_3,0.33633822202682495,2
xgboost,full,credit_term_implied,0.19326134026050568,3
xgboost,full,EXT_SOURCE_1,0.14592890441417694,4
xgboost,full,credit_goods_markup,0.1395014226436615,5
xgboost,full,DAYS_EMPLOYED,0.11809889227151871,6
xgboost,full,CODE_GENDER,0.1171848475933075,7
xgboost,full,NAME_EDUCATION_TYPE,0.0909142792224884,8
xgboost,full,DAYS_BIRTH,0.08925139904022217,9
xgboost,full,BUREAU_TOTAL_CREDIT,0.08789197355508804,10
xgboost,full,FLAG_OWN_CAR,0.0862816870212555,11
xgboost,full,AMT_ANNUITY,0.07586057484149933,12
xgboost,full,DAYS_ID_PUBLISH,0.06631825864315033,13
xgboost,full,bureau_debt_income_ratio,0.06154399365186691,14
xgboost,full,dti,0.056973524391651154,15
xgboost,full,BUREAU_ACTIVE_LOAN_COUNT,0.055393341928720474,16
xgboost,full,AMT_CREDIT,0.050075121223926544,17
xgboost,full,DAYS_LAST_PHONE_CHANGE,0.04614170640707016,18
xgboost,full,NAME_FAMILY_STATUS,0.04457499831914902,19
xgboost,full,BUREAU_TOTAL_DEBT,0.044021401554346085,20
xgboost,full,FLAG_DOCUMENT_3,0.042944688349962234,21
xgboost,full,ORGANIZATION_TYPE,0.04284129664301872,22
xgboost,full,bureau_credit_income_ratio,0.042403753846883774,23
xgboost,full,FLAG_WORK_PHONE,0.040570344775915146,24
xgboost,full,REGION_POPULATION_RELATIVE,0.03841955587267876,25
xgboost,full,EXT_SOURCE_1_MISSING,0.03492159768939018,26
xgboost,full,BUREAU_HISTORY_YEARS,0.0346219539642334,27
xgboost,full,AMT_REQ_CREDIT_BUREAU_QRT,0.0344458743929863,28
xgboost,full,REGION_RATING_CLIENT,0.029940670356154442,29
xgboost,full,income_per_capita_ratio,0.029559826478362083,30
xgboost,full,DAYS_REGISTRATION,0.027064573019742966,31
xgboost,full,OCCUPATION_TYPE,0.02629261091351509,32
xgboost,full,HOUR_APPR_PROCESS_START,0.02590102143585682,33
xgboost,full,credit_income_ratio,0.025275859981775284,34
xgboost,full,WEEKDAY_APPR_PROCESS_START,0.024419279769062996,35
xgboost,full,AMT_REQ_CREDIT_BUREAU_YEAR,0.02375383861362934,36
xgboost,full,NAME_CONTRACT_TYPE,0.022715147584676743,37
xgboost,full,APARTMENTS_AVG,0.02210910990834236,38
xgboost,full,BUREAU_LOAN_COUNT,0.02101968601346016,39
xgboost,full,YEARS_BEGINEXPLUATATION_AVG,0.02090497873723507,40
xgboost,full,NAME_INCOME_TYPE,0.020868366584181786,41
xgboost,full,DEF_60_CNT_SOCIAL_CIRCLE,0.01959800161421299,42
xgboost,full,DEF_30_CNT_SOCIAL_CIRCLE,0.01873643882572651,43
xgboost,full,REG_CITY_NOT_LIVE_CITY,0.018406866118311882,44
xgboost,full,WALLSMATERIAL_MODE,0.017475958913564682,45
xgboost,full,ENTRANCES_AVG,0.017411604523658752,46
xgboost,full,BASEMENTAREA_AVG,0.01701628975570202,47
xgboost,full,AMT_INCOME_TOTAL,0.01654651015996933,48
xgboost,full,OBS_30_CNT_SOCIAL_CIRCLE,0.01514488086104393,49
xgboost,full,TOTALAREA_MODE,0.015130162239074707,50
xgboost,full,LANDAREA_AVG,0.014332995750010014,51
xgboost,full,ELEVATORS_AVG,0.012720131315290928,52
xgboost,full,FLAG_PHONE,0.01233968697488308,53
xgboost,full,LIVINGAREA_AVG,0.011294455267488956,54
xgboost,full,NONLIVINGAREA_AVG,0.011016806587576866,55
xgboost,full,FLOORSMAX_AVG,0.01037914864718914,56
xgboost,full,NAME_HOUSING_TYPE,0.008520102128386497,57
xgboost,full,FLAG_OWN_REALTY,0.006393843796104193,58
xgboost,full,NAME_TYPE_SUITE,0.006194259040057659,59
xgboost,full,CNT_CHILDREN,0.006045857444405556,60
xgboost,full,AMT_REQ_CREDIT_BUREAU_MON,0.005376304965466261,61
xgboost,full,EXT_SOURCE_3_MISSING,0.005203021224588156,62
xgboost,full,FLAG_DOCUMENT_8,0.005122736562043428,63
xgboost,full,CNT_FAM_MEMBERS,0.004537878092378378,64
xgboost,full,REG_REGION_NOT_LIVE_REGION,0.003505589673295617,65
xgboost,full,AMT_REQ_CREDIT_BUREAU_WEEK,0.003141393419355154,66
xgboost,full,LIVE_CITY_NOT_WORK_CITY,0.003022424876689911,67
xgboost,full,FLAG_EMAIL,0.0030000482220202684,68
xgboost,full,REG_CITY_NOT_WORK_CITY,0.0027448225300759077,69
xgboost,full,HOUSETYPE_MODE,0.0026812709402292967,70
xgboost,full,REG_REGION_NOT_WORK_REGION,0.0022485831286758184,71
xgboost,full,BUREAU_TOTAL_OVERDUE,0.0018871404463425279,72
xgboost,full,FLAG_DOCUMENT_6,0.0016624744748696685,73
xgboost,full,FLAG_DOCUMENT_5,0.0016424751374870539,74
xgboost,full,EMERGENCYSTATE_MODE,0.0013521609362214804,75
xgboost,full,LIVE_REGION_NOT_WORK_REGION,0.001267980202101171,76
xgboost,full,FLAG_EMP_PHONE,0.0011065829312428832,77
xgboost,full,bureau_overdue_loan_share,0.0008146648178808391,78
xgboost,full,OCCUPATION_TYPE_MISSING,0.0007691938662901521,79
xgboost,full,BUREAU_MAX_DAYS_OVERDUE,0.0006550883990712464,80
xgboost,full,BUREAU_NO_RECORD,0.0001549610315123573,81
xgboost,full,BUREAU_OVERDUE_LOAN_COUNT,9.361961565446109e-05,82
