algo,feature_set,feature,importance,std,rank
decision_tree,full,dti,-0.0007956010036707262,0.0016324475006505368,81
decision_tree,full,DAYS_ID_PUBLISH,-0.0011768752766591396,0.0005905381664066394,82
decision_tree,full,NONLIVINGAREA_AVG,-0.0014608785772350697,0.0003863996889636679,83
decision_tree,full,DAYS_LAST_PHONE_CHANGE,-0.004304631781132673,0.002133064453798056,84
bagging,reduced,credit_term_implied,0.05576491201369428,0.003214059875065249,1
bagging,reduced,employment_years,0.015346106619289212,0.001985070580627585,2
bagging,reduced,bureau_credit_income_ratio,0.012809626431963799,0.0020577008017447127,3
bagging,reduced,bureau_debt_income_ratio,0.009759734955108946,0.0025641440197059673,4
bagging,reduced,age_years,0.005548332467620759,0.0022473619912675947,5
bagging,reduced,bureau_active_loan_count,0.0026933617027600277,0.0014486701894034111,6
bagging,reduced,dti,0.0022600470498014558,0.0016444572192982185,7
bagging,reduced,bureau_loan_count,0.0009981924893899042,0.0005161359038565451,8
bagging,reduced,bureau_overdue_loan_share,0.0,0.0,9
bagging,reduced,bureau_has_overdue,0.0,0.0,10
bagging,reduced,bureau_overdue_income_ratio,0.0,0.0,11
bagging,reduced,bureau_overdue_loan_count,0.0,0.0,12
bagging,reduced,bureau_no_record,-1.3037109993058182e-05,9.671876397623287e-06,13
bagging,reduced,children_ratio,-0.00014344008167305745,0.00033835538573967467,14
bagging,reduced,employment_ratio,-0.00043373748910545683,0.00048754705134513915,15
bagging,reduced,credit_income_ratio,-0.0014245409534055843,0.0014024316061676634,16
bagging,full,EXT_SOURCE_2,0.08538623806937151,0.00468688576912854,1
bagging,full,EXT_SOURCE_3,0.07570089953718306,0.0036809196001143184,2
bagging,full,credit_goods_markup,0.016989550130169662,0.003876961090850114,3
bagging,full,EXT_SOURCE_1,0.009679221639611458,0.0005669152031176967,4
bagging,full,credit_term_implied,0.008281244287396627,0.0026306395126568486,5
bagging,full,DAYS_BIRTH,0.008107389671292731,0.0024209975111764903,6
bagging,full,NAME_EDUCATION_TYPE,0.004076132352155692,0.001148272784327453,7
bagging,full,DAYS_EMPLOYED,0.0037533620974023797,0.0005116628721699984,8
bagging,full,CODE_GENDER,0.001865810626285841,0.0003381196642123909,9
bagging,full,OCCUPATION_TYPE,0.0011606338610846922,0.0004290828136510652,10
bagging,full,bureau_credit_income_ratio,0.0011378567377538062,0.0008423021193496866,11
bagging,full,BUREAU_LOAN_COUNT,0.000913695072440579,0.0004837311473466717,12
bagging,full,BUREAU_TOTAL_CREDIT,0.0008576660326548025,0.000769887110224485,13
bagging,full,credit_income_ratio,0.0008327332295955114,0.0004229096527140777,14
bagging,full,AMT_CREDIT,0.0006108867748816138,0.0008108647855857701,15
bagging,full,EXT_SOURCE_1_MISSING,0.0005280927343035646,0.00023964628987776794,16
bagging,full,FLAG_DOCUMENT_3,0.0004756283281302953,0.0006959965969626397,17
bagging,full,LIVINGAREA_AVG,0.00046511026255312006,0.0002506117729930359,18
